record_id,operation,num_input_table,num_key,key_name,name_left_table,name_right_table,rowNum_left_table,rowNum_right_table,rowNum_output_table,colNum_left_table,colNum_right_table,colNum_output_table,cpu_exe_time(ms),fpga_exe_time(ms),label(0_CPU/1_FPGA),
78,inner join,2,1,custkey,customer,orders,75000,750000,375224,1,2,1,40.073,9.772,1,
79,inner join,2,1,custkey,customer,orders,75000,500000,250150,1,2,1,29.252,8.087,1,
80,inner join,2,1,custkey,customer,orders,75000,100000,50101,1,2,1,10.562,5.562,1,
81,inner join,2,1,custkey,customer,orders,75000,50000,25114,1,2,1,8.306,5.333,1,
82,inner join,2,1,custkey,customer,orders,75000,10000,4969,1,2,1,6.155,5.039,1,
83,inner join,2,1,custkey,customer,orders,75000,5000,2507,1,2,1,6.177,4.984,1,
84,inner join,2,1,custkey,customer,orders,50000,1500000,500262,1,2,1,65.28,13.498,1,
85,inner join,2,1,custkey,customer,orders,50000,1250000,416928,1,2,1,55.065,11.733,1,
86,inner join,2,1,custkey,customer,orders,50000,1000000,333782,1,2,1,45.626,9.98,1,
87,inner join,2,1,custkey,customer,orders,50000,750000,250206,1,2,1,35.095,8.336,1,
88,inner join,2,1,custkey,customer,orders,50000,500000,166738,1,2,1,24.461,6.604,1,
89,inner join,2,1,custkey,customer,orders,50000,100000,33432,1,2,1,7.887,4.411,1,
90,inner join,2,1,custkey,customer,orders,50000,50000,16762,1,2,1,5.83,3.881,1,
91,inner join,2,1,custkey,customer,orders,50000,10000,3325,1,2,1,4.153,3.664,1,
92,inner join,2,1,custkey,customer,orders,50000,5000,1673,1,2,1,3.836,3.575,1,
93,inner join,2,1,custkey,customer,orders,5000,1500000,49864,1,2,1,34.143,10.327,1,
94,inner join,2,1,custkey,customer,orders,5000,1250000,41505,1,2,1,28.384,8.854,1,
95,inner join,2,1,custkey,customer,orders,5000,1000000,33101,1,2,1,23.041,7.389,1,
96,inner join,2,1,custkey,customer,orders,5000,750000,24835,1,2,1,17.514,5.822,1,
97,inner join,2,1,custkey,customer,orders,5000,500000,16489,1,2,1,11.704,4.417,1,
98,inner join,2,1,custkey,customer,orders,5000,100000,3365,1,2,1,2.784,1.952,1,
99,inner join,2,1,custkey,customer,orders,5000,50000,1673,1,2,1,1.633,1.232,1,
100,inner join,2,1,custkey,customer,orders,5000,10000,336,1,2,1,0.599,0.917,0,
101,inner join,2,1,custkey,customer,orders,5000,5000,172,1,2,1,0.508,0.911,0,
102,inner join,2,1,custkey,customer,orders,1000,1500000,9894,1,2,1,33.596,10.032,1,
103,inner join,2,1,custkey,customer,orders,1000,1250000,8214,1,2,1,27.762,8.982,1,
104,inner join,2,1,custkey,customer,orders,1000,1000000,6565,1,2,1,22.227,7.074,1,
105,inner join,2,1,custkey,customer,orders,1000,750000,4942,1,2,1,16.649,5.54,1,
106,inner join,2,1,custkey,customer,orders,1000,500000,3263,1,2,1,11.136,4.045,1,
107,inner join,2,1,custkey,customer,orders,1000,100000,664,1,2,1,2.398,1.611,1,
108,inner join,2,1,custkey,customer,orders,1000,50000,338,1,2,1,1.297,1.273,1,
109,inner join,2,1,custkey,customer,orders,1000,10000,82,1,2,1,0.337,1.02,0,
110,inner join,2,1,custkey,customer,orders,1000,5000,37,1,2,1,0.194,0.97,0,
111,inner join,2,1,custkey,customer,orders,150000,1500000,1500000,1,3,2,95.874,28.344,1,
112,inner join,2,1,custkey,customer,orders,150000,1250000,1250000,1,3,2,79.302,24.584,1,
113,inner join,2,1,custkey,customer,orders,150000,1000000,1000000,1,3,2,64.475,21.21,1,
114,inner join,2,1,custkey,customer,orders,150000,750000,750000,1,3,2,50.242,18.023,1,
115,inner join,2,1,custkey,customer,orders,150000,500000,500000,1,3,2,37.644,14.989,1,
116,inner join,2,1,custkey,customer,orders,150000,100000,100000,1,3,2,16.88,10.056,1,
117,inner join,2,1,custkey,customer,orders,150000,50000,50000,1,3,2,14.474,9.45,1,
118,inner join,2,1,custkey,customer,orders,150000,10000,10000,1,3,2,11.746,8.761,1,
119,inner join,2,1,custkey,customer,orders,150000,5000,5000,1,3,2,11.965,8.754,1,
120,inner join,2,1,custkey,customer,orders,125000,1500000,1250106,1,3,2,84.606,24.002,1,
121,inner join,2,1,custkey,customer,orders,125000,1250000,1041751,1,3,2,72.124,20.956,1,
122,inner join,2,1,custkey,customer,orders,125000,1000000,833601,1,3,2,61.161,18.188,1,
123,inner join,2,1,custkey,customer,orders,125000,750000,625231,1,3,2,47.46,15.57,1,
124,inner join,2,1,custkey,customer,orders,125000,500000,416824,1,3,2,34.957,12.798,1,
125,inner join,2,1,custkey,customer,orders,125000,100000,83511,1,3,2,15.304,8.574,1,
126,inner join,2,1,custkey,customer,orders,125000,50000,41779,1,3,2,13.901,7.941,1,
127,inner join,2,1,custkey,customer,orders,125000,10000,8285,1,3,2,11.566,7.603,1,
128,inner join,2,1,custkey,customer,orders,125000,5000,4112,1,3,2,11.132,7.621,1,
129,inner join,2,1,custkey,customer,orders,100000,1500000,999761,1,3,2,88.096,19.683,1,
130,inner join,2,1,custkey,customer,orders,100000,1250000,833169,1,3,2,76.091,17.475,1,
131,inner join,2,1,custkey,customer,orders,100000,1000000,666455,1,3,2,59.922,15.229,1,
132,inner join,2,1,custkey,customer,orders,100000,750000,499945,1,3,2,47.029,12.834,1,
133,inner join,2,1,custkey,customer,orders,100000,500000,333426,1,3,2,34.48,10.611,1,
134,inner join,2,1,custkey,customer,orders,100000,100000,66713,1,3,2,13.255,7.19,1,
135,inner join,2,1,custkey,customer,orders,100000,50000,33391,1,3,2,10.25,6.628,1,
136,inner join,2,1,custkey,customer,orders,100000,10000,6610,1,3,2,7.84,6.345,1,
137,inner join,2,1,custkey,customer,orders,100000,5000,3275,1,3,2,7.495,6.291,1,
138,inner join,2,1,custkey,customer,orders,75000,1500000,750089,1,3,2,81.44,17 ms,0,
139,inner join,2,1,custkey,customer,orders,75000,1250000,625147,1,3,2,67.787,14.883,1,
140,inner join,2,1,custkey,customer,orders,75000,1000000,500286,1,3,2,55.237,13.061,1,
141,inner join,2,1,custkey,customer,orders,75000,750000,375224,1,3,2,43.798,10.85,1,
142,inner join,2,1,custkey,customer,orders,75000,500000,250150,1,3,2,30.64,8.958,1,
143,inner join,2,1,custkey,customer,orders,75000,100000,50101,1,3,2,11.169,5.712,1,
144,inner join,2,1,custkey,customer,orders,75000,50000,25114,1,3,2,8.389,5.286,1,
145,inner join,2,1,custkey,customer,orders,75000,10000,4969,1,3,2,6.395,4.92,1,
146,inner join,2,1,custkey,customer,orders,75000,5000,2507,1,3,2,5.983,4.938,1,
147,inner join,2,1,custkey,customer,orders,50000,1500000,500262,1,3,2,69.515,15.952,1,
148,inner join,2,1,custkey,customer,orders,50000,1250000,416928,1,3,2,59.053,13.483,1,
149,inner join,2,1,custkey,customer,orders,50000,1000000,333782,1,3,2,47.77,11.512,1,
150,inner join,2,1,custkey,customer,orders,50000,750000,250206,1,3,2,36.74,9.444,1,
151,inner join,2,1,custkey,customer,orders,50000,500000,166738,1,3,2,25.716,7.472,1,
152,inner join,2,1,custkey,customer,orders,50000,100000,33432,1,3,2,8.076,4.2,1,
153,inner join,2,1,custkey,customer,orders,50000,50000,16762,1,3,2,6.22,3.738,1,
154,inner join,2,1,custkey,customer,orders,50000,10000,3325,1,3,2,4.187,3.587,1,
155,inner join,2,1,custkey,customer,orders,50000,5000,1673,1,3,2,3.931,3.575,1,
156,inner join,2,1,custkey,customer,orders,5000,1500000,49864,1,3,2,35.038,12.141,1,
157,inner join,2,1,custkey,customer,orders,5000,1250000,41505,1,3,2,29.798,10.281,1,
158,inner join,2,1,custkey,customer,orders,5000,1000000,33101,1,3,2,23.583,8.564,1,
159,inner join,2,1,custkey,customer,orders,5000,750000,24835,1,3,2,17.255,6.572,1,
160,inner join,2,1,custkey,customer,orders,5000,500000,16489,1,3,2,11.593,4.82,1,
161,inner join,2,1,custkey,customer,orders,5000,100000,3365,1,3,2,2.694,1.919,1,
162,inner join,2,1,custkey,customer,orders,5000,50000,1673,1,3,2,1.59,1.387,1,
163,inner join,2,1,custkey,customer,orders,5000,10000,336,1,3,2,0.651,1.167,0,
164,inner join,2,1,custkey,customer,orders,5000,5000,172,1,3,2,0.527,1.112,0,
165,inner join,2,1,custkey,customer,orders,1000,1500000,9894,1,3,2,36.576,11.816,1,
166,inner join,2,1,custkey,customer,orders,1000,1250000,8214,1,3,2,27.416,10.147,1,
167,inner join,2,1,custkey,customer,orders,1000,1000000,6565,1,3,2,21.904,8.152,1,
168,inner join,2,1,custkey,customer,orders,1000,750000,4942,1,3,2,16.408,6.447,1,
169,inner join,2,1,custkey,customer,orders,1000,500000,3263,1,3,2,11.086,4.404,1,
170,inner join,2,1,custkey,customer,orders,1000,100000,664,1,3,2,2.334,1.521,1,
171,inner join,2,1,custkey,customer,orders,1000,50000,338,1,3,2,1.264,1.076,1,
172,inner join,2,1,custkey,customer,orders,1000,10000,82,1,3,2,0.362,0.864,0,
173,inner join,2,1,custkey,customer,orders,1000,5000,37,1,3,2,0.204,0.745,0,
174,inner join,2,1,custkey,customer,orders,150000,1500000,1500000,2,2,2,102.232,27.546,1,
175,inner join,2,1,custkey,customer,orders,150000,1250000,1250000,2,2,2,84.051,24.235,1,
176,inner join,2,1,custkey,customer,orders,150000,1000000,1000000,2,2,2,68.621,21.261,1,
177,inner join,2,1,custkey,customer,orders,150000,750000,750000,2,2,2,53.984,18.218,1,
178,inner join,2,1,custkey,customer,orders,150000,500000,500000,2,2,2,42.383,14.879,1,
179,inner join,2,1,custkey,customer,orders,150000,100000,100000,2,2,2,17.432,10.105,1,
180,inner join,2,1,custkey,customer,orders,150000,50000,50000,2,2,2,14.454,9.538,1,
181,inner join,2,1,custkey,customer,orders,150000,10000,10000,2,2,2,11.926,9.036,1,
182,inner join,2,1,custkey,customer,orders,150000,5000,5000,2,2,2,11.944,8.947,1,
183,inner join,2,1,custkey,customer,orders,125000,1500000,1250106,2,2,2,87.605,22.969,1,
184,inner join,2,1,custkey,customer,orders,125000,1250000,1041751,2,2,2,77.977,20.226,1,
185,inner join,2,1,custkey,customer,orders,125000,1000000,833601,2,2,2,63.75,17.64,1,
186,inner join,2,1,custkey,customer,orders,125000,750000,625231,2,2,2,50.362,15.121,1,
187,inner join,2,1,custkey,customer,orders,125000,500000,416824,2,2,2,37.721,12.611,1,
188,inner join,2,1,custkey,customer,orders,125000,100000,83511,2,2,2,16.871,8.477,1,
189,inner join,2,1,custkey,customer,orders,125000,50000,41779,2,2,2,14.011,7.982,1,
190,inner join,2,1,custkey,customer,orders,125000,10000,8285,2,2,2,11.784,7.565,1,
191,inner join,2,1,custkey,customer,orders,125000,5000,4112,2,2,2,11.505,7.4,1,
192,inner join,2,1,custkey,customer,orders,100000,1500000,999761,2,2,2,91.992,18.817,1,
193,inner join,2,1,custkey,customer,orders,100000,1250000,833169,2,2,2,77.512,17.07,1,
194,inner join,2,1,custkey,customer,orders,100000,1000000,666455,2,2,2,63.626,14.794,1,
195,inner join,2,1,custkey,customer,orders,100000,750000,499945,2,2,2,49.782,12.565,1,
196,inner join,2,1,custkey,customer,orders,100000,500000,333426,2,2,2,37.852,10.73,1,
197,inner join,2,1,custkey,customer,orders,100000,100000,66713,2,2,2,13.91,7.197,1,
198,inner join,2,1,custkey,customer,orders,100000,50000,33391,2,2,2,10.642,6.813,1,
199,inner join,2,1,custkey,customer,orders,100000,10000,6610,2,2,2,8.204,6.452,1,
200,inner join,2,1,custkey,customer,orders,100000,5000,3275,2,2,2,7.842,6.36,1,
201,inner join,2,1,custkey,customer,orders,75000,1500000,750089,2,2,2,84.502,15.356,1,
202,inner join,2,1,custkey,customer,orders,75000,1250000,625147,2,2,2,72.26,13.669,1,
203,inner join,2,1,custkey,customer,orders,75000,1000000,500286,2,2,2,58.308,11.847,1,
204,inner join,2,1,custkey,customer,orders,75000,750000,375224,2,2,2,45.253,10.243,1,
205,inner join,2,1,custkey,customer,orders,75000,500000,250150,2,2,2,31.963,8.629,1,
206,inner join,2,1,custkey,customer,orders,75000,100000,50101,2,2,2,11.497,5.84,1,
207,inner join,2,1,custkey,customer,orders,75000,50000,25114,2,2,2,8.764,5.384,1,
208,inner join,2,1,custkey,customer,orders,75000,10000,4969,2,2,2,6.45,5.218,1,
209,inner join,2,1,custkey,customer,orders,75000,5000,2507,2,2,2,6.042,5.386,1,
210,inner join,2,1,custkey,customer,orders,50000,1500000,500262,2,2,2,75.347,14.247,1,
211,inner join,2,1,custkey,customer,orders,50000,1250000,416928,2,2,2,63.399,12.025,1,
212,inner join,2,1,custkey,customer,orders,50000,1000000,333782,2,2,2,51.723,10.45,1,
213,inner join,2,1,custkey,customer,orders,50000,750000,250206,2,2,2,39.277,8.824,1,
214,inner join,2,1,custkey,customer,orders,50000,500000,166738,2,2,2,27.404,7.033,1,
215,inner join,2,1,custkey,customer,orders,50000,100000,33432,2,2,2,8.821,4.405,1,
216,inner join,2,1,custkey,customer,orders,50000,50000,16762,2,2,2,6.314,4.011,1,
217,inner join,2,1,custkey,customer,orders,50000,10000,3325,2,2,2,4.174,3.882,1,
218,inner join,2,1,custkey,customer,orders,50000,5000,1673,2,2,2,4.014,3.652,1,
219,inner join,2,1,custkey,customer,orders,5000,1500000,49864,2,2,2,34.6,10.344,1,
220,inner join,2,1,custkey,customer,orders,5000,1250000,41505,2,2,2,29.138,9.068,1,
221,inner join,2,1,custkey,customer,orders,5000,1000000,33101,2,2,2,23.222,7.39,1,
222,inner join,2,1,custkey,customer,orders,5000,750000,24835,2,2,2,17.526,5.967,1,
223,inner join,2,1,custkey,customer,orders,5000,500000,16489,2,2,2,15.125,4.353,1,
224,inner join,2,1,custkey,customer,orders,5000,100000,3365,2,2,2,2.791,1.93,1,
225,inner join,2,1,custkey,customer,orders,5000,50000,1673,2,2,2,1.623,1.551,1,
226,inner join,2,1,custkey,customer,orders,5000,10000,336,2,2,2,0.662,1.38,0,
227,inner join,2,1,custkey,customer,orders,5000,5000,172,2,2,2,0.51,1.284,0,
228,inner join,2,1,custkey,customer,orders,1000,1500000,9894,2,2,2,34.067,10.207,1,
229,inner join,2,1,custkey,customer,orders,1000,1250000,8214,2,2,2,27.915,8.697,1,
230,inner join,2,1,custkey,customer,orders,1000,1000000,6565,2,2,2,22.595,7.236,1,
231,inner join,2,1,custkey,customer,orders,1000,750000,4942,2,2,2,17.657,5.651,1,
232,inner join,2,1,custkey,customer,orders,1000,500000,3263,2,2,2,11.993,4.224,1,
233,inner join,2,1,custkey,customer,orders,1000,100000,664,2,2,2,2.482,1.73,1,
234,inner join,2,1,custkey,customer,orders,1000,50000,338,2,2,2,1.299,1.321,0,
235,inner join,2,1,custkey,customer,orders,1000,10000,82,2,2,2,0.349,1.06,0,
236,inner join,2,1,custkey,customer,orders,1000,5000,37,2,2,2,0.218,1.1,0,
237,inner join,2,1,custkey,customer,orders,150000,1500000,1500000,2,3,3,110.525,29.524,1,
238,inner join,2,1,custkey,customer,orders,150000,1250000,1250000,2,3,3,89.662,26.129,1,
239,inner join,2,1,custkey,customer,orders,150000,1000000,1000000,2,3,3,73.216,22.43,1,
240,inner join,2,1,custkey,customer,orders,150000,750000,750000,2,3,3,55.98,18.977,1,
241,inner join,2,1,custkey,customer,orders,150000,500000,500000,2,3,3,45.272,15.535,1,
242,inner join,2,1,custkey,customer,orders,150000,100000,100000,2,3,3,18.043,10.205,1,
243,inner join,2,1,custkey,customer,orders,150000,50000,50000,2,3,3,14.781,9.572,1,
244,inner join,2,1,custkey,customer,orders,150000,10000,10000,2,3,3,12.3,8.918,1,
245,inner join,2,1,custkey,customer,orders,150000,5000,5000,2,3,3,11.671,8.951,1,
246,inner join,2,1,custkey,customer,orders,125000,1500000,1250106,2,3,3,92.524,25.013,1,
247,inner join,2,1,custkey,customer,orders,125000,1250000,1041751,2,3,3,80.186,22.222,1,
248,inner join,2,1,custkey,customer,orders,125000,1000000,833601,2,3,3,65.488,19.209,1,
249,inner join,2,1,custkey,customer,orders,125000,750000,625231,2,3,3,51.907,16.195,1,
250,inner join,2,1,custkey,customer,orders,125000,500000,416824,2,3,3,38.753,13.247,1,
251,inner join,2,1,custkey,customer,orders,125000,100000,83511,2,3,3,17.262,8.735,1,
252,inner join,2,1,custkey,customer,orders,125000,50000,41779,2,3,3,14.305,8.121,1,
253,inner join,2,1,custkey,customer,orders,125000,10000,8285,2,3,3,11.796,7.692,1,
254,inner join,2,1,custkey,customer,orders,125000,5000,4112,2,3,3,11.435,7.561,1,
255,inner join,2,1,custkey,customer,orders,100000,1500000,999761,2,3,3,94.126,20.781,1,
256,inner join,2,1,custkey,customer,orders,100000,1250000,833169,2,3,3,80.035,18.416,1,
257,inner join,2,1,custkey,customer,orders,100000,1000000,666455,2,3,3,65.014,15.857,1,
258,inner join,2,1,custkey,customer,orders,100000,750000,499945,2,3,3,51.17,13.541,1,
259,inner join,2,1,custkey,customer,orders,100000,500000,333426,2,3,3,36.486,11.158,1,
260,inner join,2,1,custkey,customer,orders,100000,100000,66713,2,3,3,13.663,7.206,1,
261,inner join,2,1,custkey,customer,orders,100000,50000,33391,2,3,3,10.738,6.619,1,
262,inner join,2,1,custkey,customer,orders,100000,10000,6610,2,3,3,7.989,6.379,1,
263,inner join,2,1,custkey,customer,orders,100000,5000,3275,2,3,3,7.716,6.382,1,
264,inner join,2,1,custkey,customer,orders,75000,1500000,750089,2,3,3,87.489,17.837,1,
265,inner join,2,1,custkey,customer,orders,75000,1250000,625147,2,3,3,73.498,15.696,1,
266,inner join,2,1,custkey,customer,orders,75000,1000000,500286,2,3,3,59.366,13.537,1,
267,inner join,2,1,custkey,customer,orders,75000,750000,375224,2,3,3,46.345,11.298,1,
268,inner join,2,1,custkey,customer,orders,75000,500000,250150,2,3,3,32.593,9.071,1,
269,inner join,2,1,custkey,customer,orders,75000,100000,50101,2,3,3,11.803,5.665,1,
270,inner join,2,1,custkey,customer,orders,75000,50000,25114,2,3,3,8.784,5.311,1,
271,inner join,2,1,custkey,customer,orders,75000,10000,4969,2,3,3,6.42,4.869,1,
272,inner join,2,1,custkey,customer,orders,75000,5000,2507,2,3,3,6.045,6.697,0,
273,inner join,2,1,custkey,customer,orders,50000,1500000,500262,2,3,3,77.183,16.091,1,
274,inner join,2,1,custkey,customer,orders,50000,1250000,416928,2,3,3,65.407,13.842,1,
275,inner join,2,1,custkey,customer,orders,50000,1000000,333782,2,3,3,53.142,11.864,1,
276,inner join,2,1,custkey,customer,orders,50000,750000,250206,2,3,3,40.68,9.688,1,
277,inner join,2,1,custkey,customer,orders,50000,500000,166738,2,3,3,28.706,7.656,1,
278,inner join,2,1,custkey,customer,orders,50000,100000,33432,2,3,3,9.292,4.46,1,
279,inner join,2,1,custkey,customer,orders,50000,50000,16762,2,3,3,6.465,4.094,1,
280,inner join,2,1,custkey,customer,orders,50000,10000,3325,2,3,3,4.31,3.755,1,
281,inner join,2,1,custkey,customer,orders,50000,5000,1673,2,3,3,3.977,3.741,1,
282,inner join,2,1,custkey,customer,orders,5000,1500000,49864,2,3,3,38.846,12.266,1,
283,inner join,2,1,custkey,customer,orders,5000,1250000,41505,2,3,3,30.201,10.501,1,
284,inner join,2,1,custkey,customer,orders,5000,1000000,33101,2,3,3,23.444,8.645,1,
285,inner join,2,1,custkey,customer,orders,5000,750000,24835,2,3,3,17.347,6.776,1,
286,inner join,2,1,custkey,customer,orders,5000,500000,16489,2,3,3,11.74,4.868,1,
287,inner join,2,1,custkey,customer,orders,5000,100000,3365,2,3,3,2.772,2.142,1,
288,inner join,2,1,custkey,customer,orders,5000,50000,1673,2,3,3,1.576,1.546,1,
289,inner join,2,1,custkey,customer,orders,5000,10000,336,2,3,3,0.641,1.26,0,
290,inner join,2,1,custkey,customer,orders,5000,5000,172,2,3,3,0.523,1.225,0,
291,inner join,2,1,custkey,customer,orders,1000,1500000,9894,2,3,3,34.499,12.025,1,
292,inner join,2,1,custkey,customer,orders,1000,1250000,8214,2,3,3,28.014,10.053,1,
293,inner join,2,1,custkey,customer,orders,1000,1000000,6565,2,3,3,22.376,8.419,1,
294,inner join,2,1,custkey,customer,orders,1000,750000,4942,2,3,3,16.625,6.713,1,
