record_id,operation,num_input_table,num_key,key_name,name_left_table,name_right_table,rowNum_left_table,rowNum_right_table,rowNum_output_table,colNum_left_table,colNum_right_table,colNum_output_table,cpu_exe_time (ms),fpga_exe_time (ms),label(0_CPU/1_FPGA)
29,semi join,2,1,nationkey,supplier,customer,2000,6000,2000,2,1,1,0.299,6.779,0
30,semi join,2,1,nationkey,supplier,customer,2000,1200,2000,2,1,1,0.095,1.945,0
31,semi join,2,1,nationkey,supplier,customer,2000,240,2000,2,1,1,0.057,1.014,0
32,semi join,2,1,nationkey,supplier,customer,2000,48,1682,2,1,1,0.04,0.784,0
33,semi join,2,1,nationkey,supplier,customer,400,150000,400,2,1,1,4.215,49.373,0
34,semi join,2,1,nationkey,supplier,customer,400,30000,400,2,1,1,0.803,10.679,0
35,semi join,2,1,nationkey,supplier,customer,400,6000,400,2,1,1,0.168,2.963,0
36,semi join,2,1,nationkey,supplier,customer,400,1200,400,2,1,1,0.041,1.261,0
37,semi join,2,1,nationkey,supplier,customer,400,240,400,2,1,1,0.016,0.912,0
38,semi join,2,1,nationkey,supplier,customer,400,48,330,2,1,1,0.011,1.98,0
39,semi join,2,1,nationkey,supplier,customer,80,150000,80,2,1,1,4.234,30.182,0
40,semi join,2,1,nationkey,supplier,customer,80,30000,80,2,1,1,0.884,6.706,0
41,semi join,2,1,nationkey,supplier,customer,80,6000,80,2,1,1,0.178,2.254,0
42,semi join,2,1,nationkey,supplier,customer,80,1200,80,2,1,1,0.04,1.155,0
43,semi join,2,1,nationkey,supplier,customer,80,240,80,2,1,1,0.012,0.899,0
44,semi join,2,1,nationkey,supplier,customer,80,48,64,2,1,1,0.007,0.634,0
45,semi join,2,1,custkey,customer,orders,150000,1500000,99996,2,1,1,97.886,94.039,1
46,semi join,2,1,custkey,customer,orders,150000,300000,92271,2,1,1,29.607,19.796,1
47,semi join,2,1,custkey,customer,orders,150000,60000,43960,2,1,1,12.189,5.02,1
48,semi join,2,1,custkey,customer,orders,150000,12000,11311,2,1,1,6.709,2.53,1
49,semi join,2,1,custkey,customer,orders,150000,2400,2374,2,1,1,4.899,1.814,1
50,semi join,2,1,custkey,customer,orders,150000,480,479,2,1,1,3.036,1.702,1
51,semi join,2,1,custkey,customer,orders,150000,96,96,2,1,1,2.429,1.691,1
52,semi join,2,1,custkey,customer,orders,30000,1500000,20000,2,1,1,94.675,83.561,1
53,semi join,2,1,custkey,customer,orders,30000,300000,18439,2,1,1,25.424,17.217,1
54,semi join,2,1,custkey,customer,orders,30000,60000,8803,2,1,1,7.332,4.249,1
55,semi join,2,1,custkey,customer,orders,30000,12000,2260,2,1,1,2.335,1.762,1
56,semi join,2,1,custkey,customer,orders,30000,2400,468,2,1,1,1.244,1.084,1
57,semi join,2,1,custkey,customer,orders,30000,480,94,2,1,1,0.69,1.017,0
58,semi join,2,1,custkey,customer,orders,30000,96,22,2,1,1,0.493,0.994,0
59,semi join,2,1,custkey,customer,orders,6000,1500000,4000,2,1,1,94.237,81.494,1
60,semi join,2,1,custkey,customer,orders,6000,300000,3694,2,1,1,24.248,16.998,1
61,semi join,2,1,custkey,customer,orders,6000,60000,1791,2,1,1,6.722,4.342,1
62,semi join,2,1,custkey,customer,orders,6000,12000,463,2,1,1,1.481,1.543,0
63,semi join,2,1,custkey,customer,orders,6000,2400,92,2,1,1,0.42,1.116,0
64,semi join,2,1,custkey,customer,orders,6000,480,23,2,1,1,0.192,0.931,0
65,semi join,2,1,custkey,customer,orders,6000,96,7,2,1,1,0.115,0.954,0
66,semi join,2,1,custkey,customer,orders,1200,1500000,800,2,1,1,94.703,81.69,1
67,semi join,2,1,custkey,customer,orders,1200,300000,737,2,1,1,24.782,17.016,1
68,semi join,2,1,custkey,customer,orders,1200,60000,356,2,1,1,6.322,4.252,1
69,semi join,2,1,custkey,customer,orders,1200,12000,101,2,1,1,1.351,1.713,0
70,semi join,2,1,custkey,customer,orders,1200,2400,15,2,1,1,0.28,0.932,0
71,semi join,2,1,custkey,customer,orders,1200,480,7,2,1,1,0.088,0.906,0
72,semi join,2,1,custkey,customer,orders,1200,96,3,2,1,1,0.038,0.852,0
73,semi join,2,1,custkey,customer,orders,240,1500000,160,2,1,1,93.714,81.083,1
74,semi join,2,1,custkey,customer,orders,240,300000,149,2,1,1,24.268,16.725,1
75,semi join,2,1,custkey,customer,orders,240,60000,75,2,1,1,6.209,4.167,1
76,semi join,2,1,custkey,customer,orders,240,12000,18,2,1,1,1.284,1.395,0
77,semi join,2,1,custkey,customer,orders,240,2400,2,2,1,1,0.306,0.918,0
78,semi join,2,1,custkey,customer,orders,240,480,0,2,1,1,0.08,0.893,0
79,semi join,2,1,custkey,customer,orders,240,96,0,2,1,1,0.026,0.894,0
80,semi join,2,1,custkey,customer,orders,48,1500000,32,2,1,1,94.335,81.015,1
81,semi join,2,1,custkey,customer,orders,48,300000,30,2,1,1,24.38,16.784,1
82,semi join,2,1,custkey,customer,orders,48,60000,16,2,1,1,6.478,4.216,1
83,semi join,2,1,custkey,customer,orders,48,12000,4,2,1,1,1.376,1.538,0
84,semi join,2,1,custkey,customer,orders,48,2400,1,2,1,1,0.262,0.851,0
85,semi join,2,1,custkey,customer,orders,48,480,0,2,1,1,0.05,0.825,0
86,semi join,2,1,custkey,customer,orders,48,96,0,2,1,1,0.014,0.591,0
87,semi join,2,1,orderkey,lineitem,orders,6000000,1500000,6000000,2,1,1,333.86,205.061,1
88,semi join,2,1,orderkey,lineitem,orders,6000000,300000,1199969,2,1,1,137.534,60.078,1
89,semi join,2,1,orderkey,lineitem,orders,6000000,60000,240292,2,1,1,106.267,41.699,1
90,semi join,2,1,orderkey,lineitem,orders,6000000,12000,48214,2,1,1,120.536,38.318,1
91,semi join,2,1,orderkey,lineitem,orders,6000000,2400,9551,2,1,1,110.164,36.959,1
92,semi join,2,1,orderkey,lineitem,orders,6000000,480,1917,2,1,1,108.249,36.821,1
93,semi join,2,1,orderkey,lineitem,orders,1200000,1500000,1200000,2,1,1,247.051,103.44,1
94,semi join,2,1,orderkey,lineitem,orders,1200000,300000,1199969,2,1,1,46.139,30.953,1
95,semi join,2,1,orderkey,lineitem,orders,1200000,60000,240292,2,1,1,25.363,12.105,1
96,semi join,2,1,orderkey,lineitem,orders,1200000,12000,48214,2,1,1,24.592,9.007,1
97,semi join,2,1,orderkey,lineitem,orders,1200000,2400,9551,2,1,1,21.955,8.393,1
98,semi join,2,1,orderkey,lineitem,orders,1200000,480,1917,2,1,1,22.081,8.278,1
99,semi join,2,1,orderkey,lineitem,orders,240000,1500000,240000,2,1,1,211.723,83.82,1
100,semi join,2,1,orderkey,lineitem,orders,240000,300000,240000,2,1,1,31.262,19.488,1
101,semi join,2,1,orderkey,lineitem,orders,240000,60000,240000,2,1,1,9.104,6.627,1
102,semi join,2,1,orderkey,lineitem,orders,240000,12000,48214,2,1,1,5.359,3.431,1
103,semi join,2,1,orderkey,lineitem,orders,240000,2400,9551,2,1,1,4.415,2.509,1
104,semi join,2,1,orderkey,lineitem,orders,240000,480,1917,2,1,1,4.373,2.578,1
105,semi join,2,1,orderkey,lineitem,orders,48000,1500000,48000,2,1,1,211.304,80.264,1
106,semi join,2,1,orderkey,lineitem,orders,48000,300000,48000,2,1,1,28.871,17.096,1
107,semi join,2,1,orderkey,lineitem,orders,48000,60000,48000,2,1,1,6.088,4.684,1
108,semi join,2,1,orderkey,lineitem,orders,48000,12000,48000,2,1,1,1.613,2.161,0
109,semi join,2,1,orderkey,lineitem,orders,48000,2400,9551,2,1,1,1.002,1.297,0
110,semi join,2,1,orderkey,lineitem,orders,48000,480,1917,2,1,1,0.973,1.174,0
111,semi join,2,1,orderkey,lineitem,orders,9600,1500000,9600,2,1,1,203.792,79.033,1
112,semi join,2,1,orderkey,lineitem,orders,9600,300000,9600,2,1,1,28.789,16.652,1
113,semi join,2,1,orderkey,lineitem,orders,9600,60000,9600,2,1,1,5.53,4.309,1
114,semi join,2,1,orderkey,lineitem,orders,9600,12000,9600,2,1,1,1.101,1.636,0
115,semi join,2,1,orderkey,lineitem,orders,9600,2400,9551,2,1,1,0.313,1.058,0
116,semi join,2,1,orderkey,lineitem,orders,9600,480,1917,2,1,1,0.214,1.042,0
117,semi join,2,1,orderkey,lineitem,orders,1920,1500000,1920,2,1,1,203.126,78.859,1
118,semi join,2,1,orderkey,lineitem,orders,1920,300000,1920,2,1,1,28.623,16.666,1
119,semi join,2,1,orderkey,lineitem,orders,1920,60000,1920,2,1,1,5.364,4.094,1
120,semi join,2,1,orderkey,lineitem,orders,1920,12000,1920,2,1,1,1,1.495,0
121,semi join,2,1,orderkey,lineitem,orders,1920,2400,1920,2,1,1,0.241,1.035,0
122,semi join,2,1,orderkey,lineitem,orders,1920,480,1917,2,1,1,0.072,0.838,0
123,semi join,2,1,partkey,lineitem,partsupp,6000000,800000,6000000,2,1,1,310.935,277.196,1
124,semi join,2,1,partkey,lineitem,partsupp,6000000,160000,1199877,2,1,1,226.429,272.135,0
125,semi join,2,1,partkey,lineitem,partsupp,6000000,32000,239494,2,1,1,156.247,271.134,0
126,semi join,2,1,partkey,lineitem,partsupp,6000000,6400,47706,2,1,1,152.649,270.527,0
127,semi join,2,1,partkey,lineitem,partsupp,6000000,1280,9557,2,1,1,119.45,270.455,0
128,semi join,2,1,partkey,lineitem,partsupp,6000000,256,1903,2,1,1,128.081,270.456,0
129,semi join,2,1,partkey,lineitem,partsupp,1200000,800000,1200000,2,1,1,91.898,21.099,1
130,semi join,2,1,partkey,lineitem,partsupp,1200000,160000,239647,2,1,1,54.203,20.258,1
131,semi join,2,1,partkey,lineitem,partsupp,1200000,32000,48118,2,1,1,31.146,20.166,1
132,semi join,2,1,partkey,lineitem,partsupp,1200000,6400,9629,2,1,1,29.839,20.094,1
133,semi join,2,1,partkey,lineitem,partsupp,1200000,1280,1942,2,1,1,23.598,19.882,1
134,semi join,2,1,partkey,lineitem,partsupp,1200000,256,387,2,1,1,25.082,20.088,1
135,semi join,2,1,partkey,lineitem,partsupp,240000,800000,240000,2,1,1,50.299,4.458,1
136,semi join,2,1,partkey,lineitem,partsupp,240000,160000,47813,2,1,1,15.153,4.357,1
137,semi join,2,1,partkey,lineitem,partsupp,240000,32000,9578,2,1,1,7.294,4.265,1
138,semi join,2,1,partkey,lineitem,partsupp,240000,6400,1869,2,1,1,6.177,4.299,1
139,semi join,2,1,partkey,lineitem,partsupp,240000,1280,357,2,1,1,4.86,4.181,1
140,semi join,2,1,partkey,lineitem,partsupp,240000,256,69,2,1,1,5.034,4.239,1
141,semi join,2,1,partkey,lineitem,partsupp,48000,800000,48000,2,1,1,39.212,1.948,1
142,semi join,2,1,partkey,lineitem,partsupp,48000,160000,9498,2,1,1,8.22,1.516,1
143,semi join,2,1,partkey,lineitem,partsupp,48000,32000,1896,2,1,1,2.557,1.474,1
144,semi join,2,1,partkey,lineitem,partsupp,48000,6400,342,2,1,1,1.434,1.558,0
145,semi join,2,1,partkey,lineitem,partsupp,48000,1280,64,2,1,1,1.014,1.48,0
146,semi join,2,1,partkey,lineitem,partsupp,48000,256,14,2,1,1,1.012,1.445,0
147,semi join,2,1,partkey,lineitem,partsupp,9600,800000,9600,2,1,1,36.633,0.936,1
148,semi join,2,1,partkey,lineitem,partsupp,9600,160000,1785,2,1,1,6.798,0.885,1
149,semi join,2,1,partkey,lineitem,partsupp,9600,32000,362,2,1,1,1.562,0.938,1
150,semi join,2,1,partkey,lineitem,partsupp,9600,6400,85,2,1,1,0.507,0.886,0
151,semi join,2,1,partkey,lineitem,partsupp,9600,1280,20,2,1,1,0.241,0.862,0
152,semi join,2,1,partkey,lineitem,partsupp,9600,256,3,2,1,1,0.213,0.913,0
153,semi join,2,1,partkey,lineitem,partsupp,1920,800000,1920,2,1,1,35.467,0.859,1
154,semi join,2,1,partkey,lineitem,partsupp,1920,160000,362,2,1,1,6.495,0.815,1
155,semi join,2,1,partkey,lineitem,partsupp,1920,32000,82,2,1,1,1.356,0.818,1
156,semi join,2,1,partkey,lineitem,partsupp,1920,6400,18,2,1,1,0.319,0.854,0
157,semi join,2,1,partkey,lineitem,partsupp,1920,1280,5,2,1,1,0.088,0.79,0
158,semi join,2,1,partkey,lineitem,partsupp,1920,256,0,2,1,1,0.051,0.906,0
159,semi join,2,1,suppkey,lineitem,supplier,6000000,10000,6000000,2,1,1,97.505,67.319,1
160,semi join,2,1,suppkey,lineitem,supplier,6000000,2000,1200768,2,1,1,175.101,62.32,1
161,semi join,2,1,suppkey,lineitem,supplier,6000000,400,239983,2,1,1,153.989,61.314,1
162,semi join,2,1,suppkey,lineitem,supplier,1200000,10000,1200000,2,1,1,20.091,9.457,1
163,semi join,2,1,suppkey,lineitem,supplier,1200000,2000,239481,2,1,1,34.369,8.405,1
164,semi join,2,1,suppkey,lineitem,supplier,1200000,400,48008,2,1,1,30.829,8.296,1
165,semi join,2,1,suppkey,lineitem,supplier,240000,10000,240000,2,1,1,4.685,2.652,1
166,semi join,2,1,suppkey,lineitem,supplier,240000,2000,47907,2,1,1,7.047,2.342,1
167,semi join,2,1,suppkey,lineitem,supplier,240000,400,9567,2,1,1,6.254,2.434,1
168,semi join,2,1,suppkey,lineitem,supplier,48000,10000,48000,2,1,1,1.731,1.092,1
169,semi join,2,1,suppkey,lineitem,supplier,48000,2000,9553,2,1,1,1.558,1.066,1
170,semi join,2,1,suppkey,lineitem,supplier,48000,400,1895,2,1,1,1.199,1.088,1
171,semi join,2,1,suppkey,lineitem,supplier,9600,10000,9600,2,1,1,1.085,0.859,1
172,semi join,2,1,suppkey,lineitem,supplier,9600,2000,1893,2,1,1,0.471,0.893,0
173,semi join,2,1,suppkey,lineitem,supplier,9600,400,389,2,1,1,0.279,0.797,0
174,semi join,2,1,suppkey,lineitem,supplier,1920,10000,1920,2,1,1,0.917,0.811,1
175,semi join,2,1,suppkey,lineitem,supplier,1920,2000,386,2,1,1,0.206,0.793,0
176,semi join,2,1,suppkey,lineitem,supplier,1920,400,74,2,1,1,0.08,0.7,0
